candidate_id,rank,score,reasoning
CAND_0018499,1,0.8308,"Senior Machine Learning Engineer at Zomato with 7 years experience. strong embeddings, pinecone, milvus, weaviate background relevant to JD requirements. consistent technical career in AI/ML with deep retrieval expertise. hands-on production ML/embeddings experience. exceptional recruiter engagement (100/100)."
CAND_0039754,2,0.8094,"Senior Applied Scientist at Meta with 16 years experience. strong python, elasticsearch, llms, qdrant background relevant to JD requirements. strong senior-level experience (16yr). consistent technical career in AI/ML with deep retrieval expertise. hands-on production ML/embeddings experience."
CAND_0081846,3,0.8034,"Lead AI Engineer at Razorpay with 7 years experience. strong elasticsearch, python, embeddings, qdrant background relevant to JD requirements. consistent technical career in AI/ML with deep retrieval expertise. hands-on production ML/embeddings experience. exceptional recruiter engagement (100/100)."
CAND_0046064,4,0.7918,"Senior NLP Engineer at Salesforce with 9 years experience. strong python, elasticsearch, pinecone, peft background relevant to JD requirements. consistent technical career in AI/ML with deep retrieval expertise. hands-on production ML/embeddings experience. exceptional recruiter engagement (100/100)."
CAND_0083307,5,0.7871,"Search Engineer at CRED with 8 years experience. strong python, embeddings, pinecone, peft background relevant to JD requirements. consistent technical career in AI/ML with deep retrieval expertise. hands-on production ML/embeddings experience. exceptional recruiter engagement (100/100)."
CAND_0068811,6,0.7809,"Applied ML Engineer at Freshworks with 8 years experience. strong embeddings, qdrant, pinecone, weaviate background relevant to JD requirements. consistent technical career in AI/ML with deep retrieval expertise. hands-on production ML/embeddings experience. exceptional recruiter engagement (100/100)."
CAND_0037566,7,0.7748,"Machine Learning Engineer at LinkedIn with 7 years experience. strong lora, elasticsearch, llms, pinecone background relevant to JD requirements. consistent technical career in AI/ML with deep retrieval expertise. practical ML technology experience. exceptional recruiter engagement (100/100)."
CAND_0088025,8,0.7666,"Staff Machine Learning Engineer at Yellow.ai with 9 years experience. strong python, lora, elasticsearch, llms background relevant to JD requirements. consistent technical career in AI/ML with deep retrieval expertise. hands-on production ML/embeddings experience. exceptional recruiter engagement (100/100)."
CAND_0039383,9,0.7639,"Applied ML Engineer at Meesho with 7 years experience. strong elasticsearch, faiss, lora, qlora background relevant to JD requirements. consistent technical career in AI/ML with deep retrieval expertise. hands-on production ML/embeddings experience. exceptional recruiter engagement (100/100)."
CAND_0086022,10,0.7631,"Senior Applied Scientist at Sarvam AI with 5 years experience. strong embeddings, lora, elasticsearch, pinecone background relevant to JD requirements. consistent technical career in AI/ML with deep retrieval expertise. hands-on production ML/embeddings experience. exceptional recruiter engagement (100/100)."
CAND_0072660,11,0.761,"Machine Learning Engineer at Unacademy with 7 years experience. strong python, lora, elasticsearch, opensearch background relevant to JD requirements. consistent technical career in AI/ML with deep retrieval expertise. practical ML technology experience. exceptional recruiter engagement (100/100)."
CAND_0055992,12,0.7576,"AI Engineer at CRED with 17 years experience. strong opensearch, faiss, embeddings, milvus background relevant to JD requirements. strong senior-level experience (17yr). consistent technical career in AI/ML with deep retrieval expertise. hands-on production ML/embeddings experience."
